site_name,site_no,structure,structure_id,structure_no,structure_sp,dbh,decay,vexar,planter,recorder,photo_no,tag_id,measurement_id,height,height_2,rcd,rcd_2,azimuth,dist,log_ht,status,herbiv,comp_sp,comp_dist,comp_ht,grass,forb,shrub,rock,cwd,litter,bare_soil,moss,root,other,cvr_total,notes
Horton ,1,snag,3102,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2182,2182-01,27,,5,,210,13,,,,POTR,135,26,1,,,8,10,19,12,,,,50,
Horton ,1,snag,3102,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2184,2184-01,19.5,,4,,180,16.5,,,,POTR,50,10,1,,1,13,,15,20,,,,50,
Horton ,1,snag,3102,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2174,2174-01,30,,5,,70,12,,,,POTR,65,10,1,1,,5,,12,31,,,,50,
Horton ,1,snag,3104,4,PIPO,66,0,1,IM,"JL, SK",B1686,2302,2302-01,32,,4.5,,150,24.5,,,,,,,,2,,8,,20,20,,,,50,Living tree
Horton ,1,snag,3104,4,PIPO,66,0,1,IM,"JL, SK",B1686,2298,2298-01,32,,5,,230,23,,,,,,,,2,,8,5,30,5,,,,50,Living tree
Horton ,1,snag,3104,4,PIPO,66,0,1,IM,"JL, SK",B1686,2295,2295-01,22,,3,,320,34,,,,,,,4,2,,10,,34,,,,,50,Living tree
Horton ,1,snag,3104,4,PIPO,66,0,1,IM,"JL, SK",B1686,2399,2399-01,23,,4.5,,70,28.5,,,,,,,,2,,5,,38,5,,,,50,Living tree
Horton ,1,snag,3105,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2280,2280-01,23,,3,,340,28.5,,,,,,,3,6,,2,3,11,25,,,,50,
Horton ,1,snag,3105,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2482,2482-01,21,,3,,20,17,,,,,,,14,2,,4,5,10,15,,,,50,
Horton ,1,snag,3105,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2444,2444-01,21,,4,,150,10,,,,,,,29,1,2,5,2,4,7,,,,50,
Horton ,1,snag,3105,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2445,2445-01,23,,4,,320,13,,,,,,,4,1,5,3,,25,12,,,,50,
Horton ,1,snag,3106,6,PSME,19.5,2,0,SK,"IM, SK",B1711,2348,2348-01,22,,3,,10,19,,,,,,,43,2,,,,,,5,,,50,
Horton ,1,snag,3106,6,PSME,19.5,2,0,SK,"IM, SK",B1711,2344,2344-01,22,,2.5,,120,20.5,,,,,,,,10,,8,,22,10,,,,50,
Horton ,1,snag,3106,6,PSME,19.5,2,0,SK,"IM, SK",B1711,2391,2391-01,18.5,,4,,230,25.5,,,,,,,5,8,,,,27,10,,,,50,
Horton ,1,snag,3106,6,PSME,19.5,2,0,SK,"IM, SK",B1711,403,403-01,14,,2.5,,310,14.5,,,,,,,5,,,20,,20,5,,,,50,
Horton ,1,snag,3107,7,PSME,38,2,0,SK,"IM, SK",B1204,2337,2337-01,16.5,,4,,360,13,,,,,,,,,,,5,10,25,10,,,50,
Horton ,1,snag,3107,7,PSME,38,2,0,SK,"IM, SK",B1204,2323,2323-01,19.5,,3,,270,21.5,,,,,,,25,,,5,,,20,,,,50,
Horton ,1,snag,3107,7,PSME,38,2,0,SK,"IM, SK",B1204,2340,2340-01,19.5,,3,,210,22.5,,,,,,,29,2,,,4,,5,10,,,50,
Horton ,1,snag,3107,7,PSME,38,2,0,SK,"IM, SK",B1204,2101,2101-01,15,,3.5,,110,20,,,,,,,34,,,6,,5,5,,,,50,
Horton ,1,snag,3108,8,UNK,33,3,0,SK,"IM, SK",B1702,2115,2115-01,24,,3,,50,27.5,,,,,,,5,3,,8,2,32,,,,,50,"too rocky, only two seedlings "
Horton ,1,snag,3108,8,UNK,33,3,0,SK,"IM, SK",B1702,2339,2339-01,21,,4,,300,16,,,,,,,5,2,,10,,33,,,,,50,"too rocky, only two seedlings "
Horton ,1,snag,3109,9,PSME,44,1,0,CAE,"KBK, CAE",A2280-A2281,2104,2104-01,30,,3,,280,15.5,,,,,,,1,,13,7,,24,5,,,,50,
