Site_Info,,Structure_Info,,,,,,,,,Seedling_Info,,,,,,Competition,,,Cover,,,,,,,,,,,
SITE_NAME,SITE_NO,STRUCTURE_TYPE,STRUCTURE_NO,STRUCTURE_SP,DBH,DECAY_CLASS,VEXAR,PLANTER_NAME,RECORDER_NAME,PHOTO_NO,TAG_ID,HEIGHT,RCD,AZIMUTH,DIST,LOG_HT,SPECIES,DIST,HEIGHT,GRASS,FORB,SHRUB,ROCK,CWD,LITTER,BARE_SOIL,MOSS,SNAG/ROOT,OTHER,TOTAL,NOTES
Horton ,1,1,23,PSME,25,2,1,IM,"IM, SK",B1716,2252,29,5,120,17,,RU sp,86.5,26,15,2,,5,,28,,,,,50,
Horton ,1,1,23,PSME,25,2,1,IM,"IM, SK",B1716,2254,31,4.5,360,17,,RU sp,50,26,,12,,,,33,5,,,,50,
Horton ,1,1,23,PSME,25,2,1,IM,"IM, SK",B1716,2228,26.5,4.5,260,205,,RU sp,90,26,,5,,8,,37,,,,,50,
Horton ,1,1,18,PSME,45,1,0,JL,"KBK, CAE",A2292,2485,21,3,340,13.5,,POTR,120,80,4,8,,6,2,26,4,,,,50,
Horton ,1,1,18,PSME,45,1,0,JL,"KBK, CAE",A2292,2276,21,3,260,10,,POTR,145,80,,5,,2,1,27,15,,,,50,
Horton ,1,1,18,PSME,45,1,0,JL,"KBK, CAE",A2292,2477,15,3,180,10,,,,,5,25,,5,,6,9,,,,50,
Horton ,1,1,18,PSME,45,1,0,JL,"KBK, CAE",A2292,2446,32,3,90,20,,,,,24,8,,3,,6,9,,,,50,
Horton ,1,1,22,PSME,53,1,1,JL,"KBK, CAE",A2275-A2276,2189,25,4,30,15,,,,,,8,,4,,13,25,,,,50,
Horton ,1,1,22,PSME,53,1,1,JL,"KBK, CAE",A2275-A2277,2188,31,2,15,6,,,,,,8,,1,,14,27,,,,50,
Horton ,1,1,22,PSME,53,1,1,JL,"KBK, CAE",A2275-A2278,2185,15,3,35,12,,,,,5,5,,1,1,20,18,,,,50,
Horton ,1,1,22,PSME,53,1,1,JL,"KBK, CAE",A2275-A2279,2176,15,3,305,9,,,,,1,8,,2,3,21,15,,,,50,
Horton ,1,1,1,PSME,25,2,0,UNK,"IM, SK",B1695,2504,25.5,4,290,19,,,,,2,5,,4,,34,5,,,,50,
Horton ,1,1,1,PSME,25,2,0,UNK,"IM, SK",B1695,2378,25,3.5,350,13,,,,,8,2,,4,8,13,5,10,,,50,
Horton ,1,1,1,PSME,25,2,0,UNK,"IM, SK",B1695,2373,19,4,100,15.5,,,,,35,10,,1,,4,,,,,50,
Horton ,1,1,1,PSME,25,2,0,UNK,"IM, SK",B1695,2336,22.5,3.5,300,17.5,,,,,5,8,,,,25,12,,,,50,
Horton ,1,1,4,PIPO,66,0,1,IM,"JL, SK",B1686,2302,32,4.5,150,24.5,,,,,,2,,8,,20,20,,,,50,Living tree
Horton ,1,1,4,PIPO,66,0,1,IM,"JL, SK",B1686,2298,32,5,230,23,,,,,,2,,8,5,30,5,,,,50,Living tree
Horton ,1,1,4,PIPO,66,0,1,IM,"JL, SK",B1686,2295,22,3,320,34,,,,,4,2,,10,,34,,,,,50,Living tree
Horton ,1,1,4,PIPO,66,0,1,IM,"JL, SK",B1686,2399,23,4.5,70,28.5,,,,,,2,,5,,38,5,,,,50,Living tree
Horton ,1,1,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2280,23,3,340,28.5,,,,,3,6,,2,3,11,25,,,,50,
Horton ,1,1,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2482,21,3,20,17,,,,,14,2,,4,5,10,15,,,,50,
Horton ,1,1,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2444,21,4,150,10,,,,,29,1,2,5,2,4,7,,,,50,
Horton ,1,1,5,PSME,23.5,1,0,JL,"KBK, CAE",A2289,2445,23,4,320,13,,,,,4,1,5,3,,25,12,,,,50,
Horton ,1,1,6,PSME,19.5,2,0,SK,"IM, SK",B1711,2348,22,3,10,19,,,,,43,2,,,,,,5,,,50,
Horton ,1,1,6,PSME,19.5,2,0,SK,"IM, SK",B1711,2344,22,2.5,120,20.5,,,,,,10,,8,,22,10,,,,50,
Horton ,1,1,6,PSME,19.5,2,0,SK,"IM, SK",B1711,2391,18.5,4,230,25.5,,,,,5,8,,,,27,10,,,,50,
Horton ,1,1,6,PSME,19.5,2,0,SK,"IM, SK",B1711,403,14,2.5,310,14.5,,,,,5,,,20,,20,5,,,,50,
Horton ,1,1,7,PSME,38,2,0,SK,"IM, SK",B1204,2337,16.5,4,360,13,,,,,,,,,5,10,25,10,,,50,
Horton ,1,1,7,PSME,38,2,0,SK,"IM, SK",B1204,2323,19.5,3,270,21.5,,,,,25,,,5,,,20,,,,50,
Horton ,1,1,7,PSME,38,2,0,SK,"IM, SK",B1204,2340,19.5,3,210,22.5,,,,,29,2,,,4,,5,10,,,50,
Horton ,1,1,7,PSME,38,2,0,SK,"IM, SK",B1204,2101,15,3.5,110,20,,,,,34,,,6,,5,5,,,,50,
Horton ,1,1,8,UNK,33,3,0,SK,"IM, SK",B1702,2115,24,3,50,27.5,,,,,5,3,,8,2,32,,,,,50,"too rocky, only two seedlings "
