tag_id,measurement_type,date,height,rcd,site_name,structure_no,structure_type,recorder,status,herbivory
2453,,,14,4,Horton ,17,2,"KBK, CAE",,
2459,,,29,4,Horton ,17,2,"KBK, CAE",,
2458,,,20,4,Horton ,17,2,"KBK, CAE",,
2461,,,24,5,Horton ,17,2,"KBK, CAE",,
2413,,,20,3,Horton ,18,2,"JL, CAE",,
2314,,,27,4,Horton ,18,2,"JL, CAE",,
2403,,,16,5,Horton ,18,2,"JL, CAE",,
2313,,,13,4,Horton ,18,2,"JL, CAE",,
2296,,,28,4,Horton ,19,2,"KBK, CAE",,
404,,,26.5,4,Horton ,19,2,"KBK, CAE",,
2394,,,27,4,Horton ,19,2,"KBK, CAE",,
2299,,,30,4,Horton ,19,2,"KBK, CAE",,
2307,,,30,3,Horton ,20,2,"JL, CAE",,
2406,,,21,4,Horton ,20,2,"JL, CAE",,
2417,,,26,3,Horton ,20,2,"JL, CAE",,
2308,,,27,4,Horton ,20,2,"JL, CAE",,
2455,,,19.5,3,Horton ,21,2,"KBK, CAE",,
2475,,,26,4,Horton ,21,2,"KBK, CAE",,
2279,,,26,3,Horton ,21,2,"KBK, CAE",,
2481,,,30,3,Horton ,21,2,"KBK, CAE",,
2243,,,16,3.5,Horton ,23,2,"IM, SK",,
2219,,,21.5,3.5,Horton ,23,2,"IM, SK",,
2218,,,28,3.5,Horton ,23,2,"IM, SK",,
2244,,,27,4.5,Horton ,23,2,"IM, SK",,
2269,,,18,2,Horton ,24,2,"JL, CAE",,
2498,,,20,3,Horton ,24,2,"JL, CAE",,
2488,,,19.5,2,Horton ,24,2,"JL, CAE",,
2105,,,26,2,Horton ,24,2,"JL, CAE",,
2452,,,29,4,Horton ,25,2,"KBK, CAE",,
2443,,,29,4,Horton ,25,2,"KBK, CAE",,
2448,,,17,3,Horton ,25,2,"KBK, CAE",,
2480,,,27,4,Horton ,25,2,"KBK, CAE",,
2421,,,20,4,Horton ,26,2,"JL, CAE",,
2309,,,13,2,Horton ,26,2,"JL, CAE",,
2409,,,14,3,Horton ,26,2,"JL, CAE",,
2410,,,17,3,Horton ,26,2,"JL, CAE",,
2405,,,25,4,Horton ,27,2,"JL, CAE",,
2418,,,20.5,4,Horton ,27,2,"JL, CAE",,
2402,,,16,3,Horton ,27,2,"JL, CAE",,
2316,,,23,3,Horton ,27,2,"JL, CAE",,
2322,,,22,3.5,Horton ,29,2,"IM, SK",,
2333,,,22.5,2.5,Horton ,29,2,"IM, SK",,
2355,,,25,3,Horton ,29,2,"IM, SK",,
2345,,,14.5,2.5,Horton ,29,2,"IM, SK",,
440,,,22,4.5,Luna,21,2,"LB, DL",,
420,,,22,3.2,Luna,21,2,"LB, DL",,
423,,,24,4.5,Luna,21,2,"LB, DL",,
442,,,18.5,3.25,Luna,21,2,"LB, DL",,
429,,,15.5,3.55,Luna,19,3,"LB, DL",,
350,,,21.5,3.9,Luna,19,3,"LB, DL",,
454,,,28,4.35,Luna,19,3,"LB, DL",,
348,,,21,4.4,Luna,19,3,"LB, DL",,
439,,,23.5,3.6,Luna,19,2,"LB, DL",,
459,,,18.5,4.1,Luna,19,2,"LB, DL",,
434,,,32,3,Luna,19,2,"LB, DL",,
464,,,18.5,3.25,Luna,19,2,"LB, DL",,
439,,,24.5,3.9,Luna,22,2,"LB, DL",,
438,,,22.5,3.1,Luna,22,2,"LB, DL",,
433,,,19.5,3.25,Luna,22,2,"LB, DL",,
448,,,27,4.35,Luna,22,2,"LB, DL",,
425,,,28,37,Luna,23,1,"EV, SK",,
455,,,33,4.2,Luna,23,1,"EV, SK",,
457,,,23,3.5,Luna,23,1,"EV, SK",,
303,,,29,31,Luna,23,1,"EV, SK",,
354,,,21.5,4,Luna,25,2,"LB, DL",,
444,,,19.5,3.65,Luna,25,2,"LB, DL",,
445,,,19.5,3.95,Luna,25,2,"LB, DL",,
441,,,27,3.2,Luna,25,2,"LB, DL",,
358,,,24,3.8,Luna,29,2,"LB, DL",,
456,,,22,2.9,Luna,29,2,"LB, DL",,
308,,,29,3.2,Luna,29,2,"LB, DL",,
430,,,28.5,3.6,Luna,29,2,"LB, DL",,
422,,,21.5,3.1,Luna,17,2,"LB, DL ",,
844,,,20.5,4,Luna,17,2,"LB, DL ",,
555,,,25.5,2.9,Luna,17,2,"LB, DL ",,
368,,,28,2.75,Luna,17,2,"LB, DL ",,
322,,,29,4,Luna ,3,3,"SK, EV",,
310,,,21,3.4,Luna ,3,3,"SK, EV",,
311,,,24,3.1,Luna ,3,3,"SK, EV",,
467,,,18,4,Luna ,3,3,"SK, EV",,
353,,,27,3.4,Luna,20,1,"SK, EV",,
426,,,18,3.5,Luna,20,1,"SK, EV",,
409,,,19,3,Luna,20,1,"SK, EV",,
352,,,26,3.3,Luna,20,1,"SK, EV",,
